Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
ծրագրավորող,tsragravorrogh,programmer,Իմ ընկերը ծրագրավորող է աշխատում։ [My friend works as a programmer.],A compound noun from ծրագիր (tsragir - program) + ավորող (avorrogh - one who does). Definite form: ծրագրավորողը (tsragravorroghuh).,A programmer's life: *tsragir-avor-rogh* (tragic or raw)?,Professions & Occupations
կաթ,kat',milk,Երեխան ամեն առավոտ կաթ է խմում։ [The child drinks milk every morning.],Root: կաթ (kat'). Definite form: կաթը (kat'uh).,I need some milk for my *kat'* (cat).,Food & Dining
կակաո,kakao,cocoa,Ցուրտ օրերին ես սիրում եմ տաք կակաո խմել։ [On cold days I like to drink hot cocoa.],"An international word, spelled phonetically in Armenian. It is a loanword.",This one is easy! *Kakao* sounds just like cocoa.,Food & Dining
կամ,kam,or,"Դու թե՞յ ես ուզում, կամ սուրճ։ [Do you want tea or coffee?]",A conjunction used to present alternatives. Root: կամ (kam).,Be *kam* (calm) and choose one or the other.,General
կամաց,kamats,quiet / slow,"Կամաց քայլիր, հատակը սայթաքուն է։ [Walk slowly, the floor is slippery.]",An adverb. Can mean 'slowly' or 'quietly' depending on context. Root: կամաց (kamats).,Drive slowly and be quiet. Use your *kamats* (calm arts).,Adjectives & Qualities
կամաց-կամաց,kamats-kamats,so-so,Ինչպե՞ս են գործերդ։ - Կամաց-կամաց։ [How are things? - So-so.],"Adverb. A reduplication of կամաց (kamats), which means 'slowly'. The repetition gives it the meaning of 'getting by' or 'so-so'.","Things are going 'come on, come on' (kamats-kamats), just so-so.",General
կանաչ,kanach',green,"Գարնանը բոլոր ծառերը կանաչ են։ [In the spring, all the trees are green.]",Adjective. Root: կանաչ (kanach').,Imagine opening a 'can of nuts' (kanach') and they are all bright green.,Adjectives & Qualities
կանգառ,kangar,stop (bus/metro),"Խնդրում եմ, սպասեք հաջորդ կանգառում։ [Please, wait at the next stop.]",Noun. From the verb կանգնել (kangnel) - 'to stop/stand'. Definite form: կանգառը (kangaruh).,A KANGARoo (kangar) is waiting for the bus at the stop.,Travel & Transportation
կապել,kapel,to tie,"Խնդրում եմ, կապիր կոշիկներդ։ [Please, tie your shoes.]",Verb. Infinitive: կապել (kapel). Imperative: կապիր (kapir).,Help me tie the 'cape L' (kapel) on the superhero.,Actions & Verbs
կապույտ,kapuyt,blue,Երկինքը այսօր զարմանալի կապույտ է։ [The sky is surprisingly blue today.],Adjective. Root: կապույտ (kapuyt).,I 'put' (kapuyt) on my blue captain's hat.,Adjectives & Qualities
կատու,katu,cat,Իմ կատուն սիրում է քնել արևի տակ։ [My cat loves to sleep in the sun.],Noun. Definite form: կատուն (katun). Plural: կատուներ (katuner).,"Be careful, that cat might 'cut you' (katu).",Animals
կարագ,karag,butter,"Առավոտյան սիրում եմ հաց ու կարագ ուտել։ [In the morning, I like to eat bread and butter.]",Noun. Definite form: կարագը (karaguh). A mass noun.,I accidentally drove my 'car' on a 'rag' (karag) covered in butter.,Food & Dining
կարդալ,kardal,to read,Ես սիրում եմ գիրք կարդալ քնելուց առաջ։ [I like to read a book before sleeping.],Verb. Infinitive: կարդալ (kardal). Imperative: կարդա (karda).,I want to read the 'card all' (kardal) day long.,Actions & Verbs
կարճ,karch,short,Այս պատմությունը շատ կարճ է։ [This story is very short.],Adjective. Root: կարճ (karch). Can also be used as an adverb for 'briefly'.,"Because the trip was short, I took my 'car' to the 'church' (karch).",Adjectives & Qualities
կարմիր,karmir,red,Այս խնձորը շատ կարմիր ու հյութալի է։ [This apple is very red and juicy.],Adjective. Root: կարմիր (karmir).,My 'car mirror' (karmir) is painted bright red.,Adjectives & Qualities
կարողանալ,karoghanal,to be able (can),Դու կարո՞ղ ես ինձ օգնել։ [Can you help me?],"Verb (modal). Infinitive: կարողանալ (karoghanal). Commonly used in conjugated forms: կարող եմ (karogh em - I can), կարող ես (karogh es - you can), etc.","I 'can' do it, but the 'car can go all' (karoghanal) day to get there.",Actions & Verbs
կարոտել,karotel,to miss,"Ես շատ եմ կարոտում ընտանիքիս, երբ հեռու եմ։ [I miss my family a lot when I am far away.]",Verb. Infinitive: կարոտել (karotel). The object being missed is in the dative case.,I miss staying at that 'car hotel' (karotel).,Emotions & Physical States
կարտոֆիլ,kartofil,potato,Երեկոյան ընթրիքի համար տապակած կարտոֆիլ ենք ուտելու։ [We are going to eat fried potatoes for dinner tonight.],Noun. Definite form: կարտոֆիլը (kartofiluh). A clear loanword from Russian/German.,I need to 'fill' my shopping 'cart' (kartofil) with potatoes.,Food & Dining
կաֆե,kafe,cafe,Վաղը ընկերներիս հետ կաֆե ենք գնալու։ [Tomorrow we are going to a cafe with my friends.],Noun. International loanword. Definite form: կաֆեն (kafen).,Let's meet at the 'cafe' for a coffee. (It sounds almost the same!).,Places & Buildings
կես,kes,half,"Խնդրում եմ, ինձ մի կես բաժակ ջուր տվեք։ [Please, give me half a glass of water.]",Noun/Adjective. Root: կես (kes). Can modify a noun or stand alone.,She gave me half the cake and a 'kiss' (kes) on the cheek.,Numbers & Quantity
կեսօր,kesor,noon,"Կեսօրին արևը ամենաշատն է տաքացնում։ [At noon, the sun is the hottest.]",Noun. Compound word from կես (kes - half) + օր (or - day). Literally 'half-day'.,"At noon, you 'kiss ore' (kesor) that you found in the mine.","Time, Calendar & Seasons"
կիլոգրամ,kilogram,kilogram,Խանութից երկու կիլոգրամ լոլիկ գնեցի։ [I bought two kilograms of tomatoes from the store.],Noun. International loanword. Definite form: կիլոգրամը (kilogramuh).,This golden 'key' weighs a 'kilogram'.,Numbers & Quantity
կին,kin,wife / woman,Նրա կինը շատ խելացի կին է։ [His wife is a very smart woman.],Noun. Can mean 'wife' or 'woman'. Definite form: կինը (kinuh). Irregular plural: կանայք (kanayk').,My 'kin' (kin) includes my wife and all the women in my family.,People & Family
կիսել,kisel,to share / divide,Եկեք այս խնձորը երկու մասի կիսենք։ [Let's share this apple in two.],Verb. Derived from կես (kes) 'half'. Infinitive: կիսել (kisel). Imperative: կիսիր (kisir).,Let's 'kiss L' (kisel) shaped chocolates and share them.,Actions & Verbs
կիրակի,kiraki,Sunday,"Կիրակի օրը ես սովորաբար հանգստանում եմ տանը։ [On Sunday, I usually rest at home.]","Noun. From Greek κυριακή (kyriakí), 'Lord's day'. Definite form: կիրակին (kirakin).","On Sunday, I clean the house with a 'key' and a 'raggy' (kiraki) cloth.","Time, Calendar & Seasons"
կհանդիպենք,khandipenk',see you soon / will meet,"Լավ, վաղը կհանդիպենք։ [Okay, we'll meet tomorrow.]","Verb. Future tense, 1st person plural of հանդիպել (handipel - to meet). Imperative: հանդիպի՛ր (handipir).","KHANDIPENK' sounds like ""Can't depend"" on seeing you soon, but I hope we will!",Actions & Verbs
կոմպոզիտոր,kompozitor,composer,Արամ Խաչատրյանը հայտնի կոմպոզիտոր է։ [Aram Khachaturian is a famous composer.],Noun. A cognate of the English word. Definite form: կոմպոզիտորը (kompozitoruh). Plural: կոմպոզիտորներ (kompozitorner).,A KOMPOZITOR is a composer. It sounds almost identical!,Professions & Occupations
կոշիկ,koshik,shoe,Այս նոր կոշիկները շատ հարմարավետ են։ [These new shoes are very comfortable.],Noun. Root: կոշիկ (koshik). Definite form: կոշիկը (koshikuh). Common Plural: կոշիկներ (koshikner).,"My KOSHIK gave me a ""cash kick"" because it was so expensive.",Objects & Tools
կով,kov,cow,Գյուղում մի սպիտակ կով տեսա։ [I saw a white cow in the village.],Noun. Root: կով (kov). Definite form: կովը (kovuh). Plural: կովեր (kover).,"The KOV is hiding in the ""cove"" by the sea.",Animals
կուշտ,kusht,full,"Շատ համեղ էր, ես արդեն կուշտ եմ։ [It was very delicious, I'm already full.]",Adjective. Root: կուշտ (kusht). Describes the state of being full/satiated.,"I'm so full, I need to be ""cushed"" onto the sofa.",Emotions & Physical States
կտրել,ktrel,to cut,Խնդրում եմ այս թուղթը երկու մասի կտրել։ [Please cut this paper in two.],Verb. Infinitive: կտրել (ktrel). Imperative (singular): կտրի՛ր (ktrir).,"I need to KTREL (""cut-rell"") a roll of paper.",Actions & Verbs
կրակ,krak,fire,"Ձմռանը մենք վառարանի կրակով էինք տաքանում։ [In winter, we warmed ourselves with the fire from the stove.]",Noun. Root: կրակ (krak). Definite form: կրակը (krakuh).,"Watch out for the fire, it will KRAK (""crack"") the logs.",Nature & Environment
կրկնել,krknel,to repeat,Կարո՞ղ եք խնդրում եմ ևս մեկ անգամ կրկնել։ [Can you please repeat one more time?],Verb. Infinitive: կրկնել (krknel). Imperative (singular): կրկնի՛ր (krknir). The root կրկին (krkin) means 'again'.,"The parrot in the kirk will KRKNEL (""kirk-nell"") everything you say.",Actions & Verbs
հաբ,hab,pill,Գլխացավի համար հաբ պետք է խմեմ։ [I need to take a pill for my headache.],Noun. Root: հաբ (hab). Definite form: հաբը (habuh). Plural: հաբեր (haber).,It's a bad HAB-it to take too many pills.,Health & Well-being
հագուստ,hagust,clothes,Ամառային հագուստը պահարանում է։ [The summer clothes are in the closet.],Noun. Collective noun derived from the verb հագնել (hagnel) - to wear. Definite form: հագուստը (hagustuh).,"A ""gust"" of wind blew my HAGUST (clothes) off the line.",Objects & Tools
հազար,hazar,1000,Այս գիրքը հազար դրամ արժե։ [This book costs one thousand dram.],Number. Root: հազար (hazar).,It would be a HAZAR-d to count to 1000 all at once.,Numbers & Quantity
հազվադեպ,hazvadep,rarely,Ես շատ հազվադեպ եմ կինո գնում։ [I go to the cinema very rarely.],Adverb. A compound word from հազիվ (haziv - barely) and դեպք (depk' - case).,"You will rarely see someone who ""HAS-VA-DEEP"" pockets like that.",General
հաճախ,hachakh,often,Նա հաճախ է զանգում իր տատիկին։ [He often calls his grandmother.],Adverb. Root: հաճախ (hachakh).,"He often laughs so hard he starts to HACHAKH (""ha-choke"").",General
համալսարան,hamalsaran,university,Ես սովորում եմ Երևանի պետական համալսարանում։ [I study at Yerevan State University.],"Noun. Compound word: համա- (hama-, 'all') + լսարան (lsaran, 'auditorium'). Definite form: համալսարանը (hamalsaranuh).","""HAM-ALL-SARAN"" to the university to get her degree.",Places & Buildings
համակարգիչ,hamակարգիչ,computer,Իմ համակարգիչը շատ հին է։ [My computer is very old.],"Noun. Compound word: համա- (hama-, 'all') + կարգ (karg, 'order') + -իչ (-ich, suffix for agent/tool). Literally 'system-izer'. Definite form: համակարգիչը (hamakargichuh).","My computer is broken, I'll fix it with a HAMAKARGICH' (""hammer-car-kick"").",Objects & Tools
համար,hamar,for,Այս նվերը քո համար է։ [This gift is for you.],Postposition. It comes after the noun/pronoun it modifies.,"I bought this HAMAR (""hammer"") for you.",General
հայ,hay,Armenian (person),Իմ ընկերը հայ է։ [My friend is Armenian.],"Noun/Adjective. The root name for an Armenian person, from the legendary patriarch Hayk. Plural: հայեր (hayer).","The Armenian person waved and said ""HAY!""",People & Family
հայաստան,hayastan,Armenia,Հայաստանը շատ գեղեցիկ երկիր է։ [Armenia is a very beautiful country.],"Noun. Root: հայ (hay) + -ստան (-stan, a common suffix for 'land of'). So, 'Land of the Armenians'.","Armenia is a HAYASTAN (""high-a-stan""), with many tall mountains.",Places & Buildings
հայերեն,hayeren,Armenian (lang),Ես ուզում եմ սովորել հայերեն։ [I want to learn Armenian.],"Noun/Adverb. Root: հայ (hay) + -երեն (-eren, suffix for languages). Can mean 'the Armenian language' or 'in Armenian'.","The Armenian language sounds like ""HAY-AIR-IN"" my ears.",General
հայկական,haykakan,Armenian (adj),Ես սիրում եմ հայկական խոհանոցը։ [I love Armenian cuisine.],"Adjective. Root: հայ (hay) + -ական (-akan, adjectival suffix). Used to describe something as being Armenian.","This Armenian coffee is so strong it's a HAYKAKAN (""high-kickin'"") experience.",Adjectives & Qualities
հայրիկ,hayrik,father,Հայրիկս ամեն օր ինձ տանում է դպրոց։ [My father takes me to school every day.],"Root: հայր (hayr - father). '-իկ' (-ik) is a diminutive suffix, making it more affectionate like 'daddy'. Definite form: հայրիկը (hayrikə).","My dad says ""HI, RICK!"" every morning when he sees his friend Rick.",People & Family
հանգիստ,hangist,calm,"Խնդրում եմ, հանգիստ եղիր, ամեն ինչ լավ կլինի։ [Please, be calm, everything will be fine.]",Adjective. Can also mean 'rest' or 'quiet'.,"He HUNG a GHOST on the wall, but he remained surprisingly calm about it.",Adjectives & Qualities
հանքային ջուր,hank'ayin jur,mineral water,Ես միշտ մարզասրահում հանքային ջուր եմ խմում։ [I always drink mineral water at the gym.],Compound noun. հանք (hank') means 'mine' + '-ային' (-ayin) adjectival suffix + ջուր (jur) 'water'. Literally 'mine-related water'.,The miners are HANKERIN' for some JEWELRY-grade water.,Food & Dining
հաջողություն,hajoghut'yun,good luck / goodbye,Հաջողություն քննությանդ։ [Good luck on your exam.],Noun. From the verb հաջողել (hajoghel) - to succeed. '-ություն' (-ut'yun) is a suffix that creates abstract nouns.,"To wish good luck, you HAVE TO JOG with a TUNE on.",General
հաստ,hast,thick,Ձմռանը ես հաստ շարֆ եմ կրում։ [In winter I wear a thick scarf.],Adjective. The opposite is բարակ (barak) - thin.,"That book is so thick, it HAS T-o be heavy.",Adjectives & Qualities
հավ,hav,hen,Տատիկս գյուղում շատ հավեր ունի։ [My grandmother has many hens in the village.],Noun. Plural: հավեր (haver). Often used for 'chicken' in a culinary context as well.,I HAVE a hen in my backyard.,Animals
հարբած,harbats,drunk,Նա մի քիչ հարբած էր երեկույթին։ [He was a little drunk at the party.],"Past participle used as an adjective, from the verb հարբել (harbel) - to get drunk.","He was so drunk, he was hitting on a HARP BAT.",Emotions & Physical States
հարբել,harbel,get drunk,"Չարժի այդքան շատ գինի խմել, կարող ես հարբել։ [It's not worth drinking that much wine, you might get drunk.]",Verb. Infinitive: հարբել (harbel). Imperative: հարբի՛ր (harbir).,He likes to get drunk and ring the HARP BELL.,Actions & Verbs
հարմար,harmar,convenient / comfortable,Այս բազկաթոռը շատ հարմար է։ [This armchair is very comfortable.],Adjective. Can be used for physical comfort or convenience of a situation.,This comfortable chair is HARD to MAR (damage).,Adjectives & Qualities
հարյուր,haryur,100,Ես հարյուր դրամով գրիչ գնեցի։ [I bought a pen for one hundred dram.],Numeral. Forms the base for other hundreds: երկու հարյուր (yerku haryur - 200).,"I have to HURRY, YOUR honor, I'm late by 100 minutes!",Numbers & Quantity
հարց,harts',question,Ես մի հարց ունեմ ձեզ։ [I have a question for you.],Noun. Definite form: հարցը (harts'ə). Plural: հարցեր (harts'er).,That's a HARD question.,General
հարցնել,harts'nel,to ask,Մի՛ վախեցիր ուսուցչիդ հարցնել։ [Don't be afraid to ask your teacher.],Verb. Infinitive: հարցնել (harts'nel). Imperative: հարցրո՛ւ (harts'ru). Derived from the noun հարց (harts') - question.,HARTS'-NELL is the person you need to ask.,Actions & Verbs
հարևան,harevan,neighbor,Մեր նոր հարևանը շատ բարի մարդ է։ [Our new neighbor is a very kind person.],Noun. Definite form: հարևանը (harevanə). Plural: հարևաններ (harevanner).,My neighbor drives a HARE VAN.,People & Family
հաց,hats',bread,Հայկական լավաշը շատ համեղ հաց է։ [Armenian lavash is a very tasty bread.],Noun. Definite form: հացը (hats'ə). Can also refer to 'a meal' in a broader sense.,I love bread and HATS.,Food & Dining
հեռախոս,herrakhos,phone,Իմ հեռախոսի մարտկոցը նստել է։ [My phone's battery is dead.],Compound noun. From հեռու (herru - far) + խոսել (khosel - to speak). Literally 'far-speaker'.,My HAIRY COUSIN is always on the phone.,Objects & Tools
հեռու,herru,far / away,Խանութը այստեղից շատ հեռու է։ [The store is very far from here.],Adverb/Adjective. The opposite is մոտիկ (motik) - near.,"She threw the ball from HERE to YOU, which is very far away.",Adjectives & Qualities
հետաքրքիր,hetak'rk'ir,interesting,Սա շատ հետաքրքիր գիրք է։ [This is a very interesting book.],Adjective. Derived from հետ (het - behind) and քրքրել (k'rk'rel - to rummage/dig).,"I HATE A CRACKER, which is an interesting opinion to have.",Adjectives & Qualities
հետո,heto,then / after,"Նախ դասերս կանեմ, հետո կգնամ զբոսնելու։ [First I will do my homework, then I will go for a walk.]",Adverb. Often used to sequence events. Can be combined with the ablative case: դասից հետո (dasits' heto) - after the lesson.,"I'll see you after, HEY TOE!","Time, Calendar & Seasons"
հիասթափված,hiast'ap'vats,disappointed,Ես հիասթափված եմ իմ արդյունքներից։ [I am disappointed with my results.],"Past participle used as an adjective, from the verb հիասթափվել (hiast'ap'vel) - to be disappointed.",He was disappointed when HE ATE UP VATS of soap instead of ice cream.,Emotions & Physical States
հիմա,hima,now,Ես պետք է հիմա գնամ տուն։ [I have to go home now.],Adverb of time. Very common and fundamental word.,"""HE, MA!"" come here NOW!","Time, Calendar & Seasons"
հին,hin,old (objects),"Իմ պապիկի տունը շատ հին է, բայց շատ գեղեցիկ։ [My grandpa's house is very old, but very beautiful.]","Adjective. Root: հին (hin). It describes nouns, usually preceding them.",My old car has a squeaky 'hin'ge.,Adjectives & Qualities
հինգ,hing,5,"Խնդրում եմ, ինձ հինգ խնձոր տվեք։ [Please, give me five apples.]",Cardinal number. Root: հինգ (hing).,I 'hing' my coat on one of the 'five' hooks.,Numbers & Quantity
հինգշաբթի,hingshabt'i,Thursday,Հինգշաբթի օրը ես ընկերներիս հետ եմ հանդիպում։ [On Thursday I meet with my friends.],Noun. Compound of հինգ (hing - five) + շաբաթ (shabat' - week). Definite form: հինգշաբթին (hingshabt'in).,"On Thursday, I 'hinge' the door 'shabby'ly 't'o annoy my neighbor.","Time, Calendar & Seasons"
հիշել,hishel,to remember,Ես միշտ հիշում եմ իմ մանկությունը։ [I always remember my childhood.],Verb. Infinitive: հիշել (hishel). Imperative: հիշի՛ր (hishir).,I try to 'remember' who 'he shell'ed the peanuts for.,Actions & Verbs
հիսուն,hisun,50,Այս գիրքը հիսուն էջ ունի։ [This book has fifty pages.],Cardinal number. Root: հիսուն (hisun).,He soon' will be '50' years old.,Numbers & Quantity
հիվանդ,hivand,sick,"Եթե հիվանդ ես, պետք է տանը մնաս։ [If you are sick, you must stay home.]",Adjective/Noun. Can mean 'sick' or 'a patient'.,He vanned' the 'sick' patient away in an ambulance.,Health & Well-being
հիվանդանալ,hivandanal,to get sick,"Աշնանը մարդիկ հաճախ են հիվանդանում։ [In autumn, people often get sick.]",Verb. Infinitive: հիվանդանալ (hivandanal). Imperative: հիվանդացի՛ր (hivandats'ir).,He-vanned-an-all' the people who were starting to 'get sick'.,Health & Well-being
հիվանդանոց,hivandanots',hospital,Բժիշկը աշխատում է հիվանդանոցում։ [The doctor works at the hospital.],Noun. Compound of հիվանդ (hivand - patient) + -անոց (-anots' - place of). Definite: հիվանդանոցը (hivandanots'y).,The 'hospital' has a 'he-vanned-a-gnats' problem.,Places & Buildings
հյուր,hyur,guest,Այսօր երեկոյան մենք հյուրեր ունենք։ [Tonight we have guests.],Noun. Plural form: հյուրեր (hyurer).,Your' 'guest' has arrived.,People & Family
հյուրանոց,hyuranots',hotel,Մենք կմնանք քաղաքի կենտրոնում գտնվող հյուրանոցում։ [We will stay at a hotel in the city center.],Noun. Compound of հյուր (hyur - guest) + -անոց (-anots' - place of). Definite: հյուրանոցը (hyuranots'y).,There's a 'hotel' just for 'your gnats'.,Places & Buildings
հյուրասենյակ,hyurasenyak,sitting room,Ընտանիքը հավաքվել է հյուրասենյակում և հեռուստացույց է դիտում։ [The family has gathered in the sitting room and is watching TV.],Noun. Compound of հյուր (hyur - guest) + սենյակ (senyak - room). Definite: հյուրասենյակը (hyurasenyaky).,Your sen-yak' is waiting for you in the 'sitting room'.,Home & Furniture
հոգնած,hognats,tired,"Ամբողջ օրը աշխատել եմ, շատ հոգնած եմ։ [I worked all day, I am very tired.]",Adjective (Past Participle from հոգնել - to get tired).,I'm so 'tired' I could eat a bucket of 'hog nuts'.,Emotions & Physical States
հոկտեմբեր,հոկտեմբեր,October,Հոկտեմբերին եղանակը սկսում է ցրտել։ [In October the weather starts to get cold.],Noun. International word. Definite form: հոկտեմբերը (hoktembery).,"Hulk-timber!' he shouted, chopping wood in 'October'.","Time, Calendar & Seasons"
հող,hogh,land / soil,Այս հողը շատ բերրի է։ [This soil is very fertile.],Noun. Definite form: հողը (hoghy).,A happy 'hog' rolls in the 'soil'.,Nature & Environment
հորաքույր,horak'uyr,aunt (father's),Իմ հորաքույրը շատ համեղ տոլմա է պատրաստում։ [My aunt (father's sister) makes very delicious dolma.],Noun. Compound of հոր (hor - of father) + քույր (k'uyr - sister).,Imagine a 'horror choir' composed of all your father's sisters ('aunts').,People & Family
հորեղբայր,horeghbayr,uncle (father's),Հորեղբայրս ինձ սովորեցրեց շախմատ խաղալ։ [My uncle (father's brother) taught me to play chess.],Noun. Compound of հոր (hor - of father) + եղբայր (eghbayr - brother).,The 'horror buyer' at the film studio is my 'uncle' (father's brother).,People & Family
հուզված,huzvats,touched / moved,"Ես շատ հուզված էի քո նվերից, շնորհակալություն։ [I was very touched by your gift, thank you.]",Adjective (Past Participle from հուզվել - to get excited/moved).,Who's vats' of tears? The emotionally 'touched' man.,Emotions & Physical States
հուզվել,huzvel,get excited,"Մի՛ հուզվիր, ամեն ինչ լավ կլինի։ [Don't get excited/worried, everything will be fine.]",Verb. Infinitive: հուզվել (huzvel). Imperative: հուզվի՛ր (huzvir).,Who's vel'vet cape is this? The person who 'got so moved' that they left it behind.,Actions & Verbs
հուլիս,hulis,July,Հուլիսին Հայաստանում շատ շոգ է լինում։ [In July it is very hot in Armenia.],Noun. International word. Definite form: հուլիսը (hulisy).,"Who is' this? It's my friend Julie, who was born in 'July'.","Time, Calendar & Seasons"
հունիս,hunis,June,"Հունիսին ծիրանը հասունանում է։ [In June, the apricots ripen.]",Noun. International word. Definite form: հունիսը (hunisy).,Who is' going on vacation in 'June'?,"Time, Calendar & Seasons"
հունվար,hunvar,January,Հունվարին Երևանում սովորաբար ցուրտ է լինում։ [It's usually cold in Yerevan in January.],"Root: հունվար (hunvar). Definite form: հունվարը (hunvaruh). This word is derived from the Latin 'Ianuarius', making it a cognate in many European languages.",You only see the new HOON-VAR model car in January.,"Time, Calendar & Seasons"
հուսով եմ,husov em,I hope,"Հուսով եմ, որ վաղը արևոտ օր կլինի։ [I hope tomorrow will be a sunny day.]","Root: հույս (huys), meaning 'hope'. 'husov' is the instrumental case ('with hope') and 'em' means 'I am'. Literally, 'I am with hope'.","""WHO SO VEM-ently hopes for the best?"" I do, husov em.",Emotions & Physical States
հրապարակ,hraparak,square,Երեկոյան հանդիպենք Հանրապետության հրապարակում։ [Let's meet at Republic Square in the evening.],Root: հրապարակ (hraparak). Definite form: հրապարակը (hraparakuh). Used for city squares and public spaces.,"Everyone is having a ""HURRAH-PARADE"" in the main square.",Places & Buildings
հրավիրել,hravirel,invite,Ես ուզում եմ քեզ հրավիրել իմ ծննդյան օրին։ [I want to invite you to my birthday.],Verb. Infinitive: հրավիրել (hravirel). Imperative: հրավիրի՛ր (hravirir).,"To invite him, you'll HAVE TO REEL him in with a good offer.",Actions & Verbs
ձախ,dzakh,left,"Այս փողոցում պետք է թեքվել ձախ։ [On this street, you need to turn left.]","Root: ձախ (dzakh). Adjective. It is the opposite of աջ (ach), meaning right.",The DUCK turned left.,Adjectives & Qualities
ձայն,dzayn,voice,Նրա ձայնը շատ հաճելի է։ [Her voice is very pleasant.],Root: ձայն (dzayn). Definite form: ձայնը (dzaynuh). Common plural: ձայներ (dzayner).,The DESIGN of her voice is beautiful.,Emotions & Physical States
ձեր,dzer,your (plural),Սա ձեր տոմսե՞րն են։ [Are these your tickets?],"Possessive pronoun, 2nd person plural or formal. Use when speaking to more than one person or formally to one person. Compare with քո (k'o) - your (singular, informal).","""DZER"" is your house? (Pointing at a group of people).",General
ձմեռ,dzmerr,winter,"Ես սիրում եմ, երբ ձմռանը շատ ձյուն է գալիս։ [I love it when it snows a lot in winter.]",Root: ձմեռ (dzmerr). Definite form: ձմեռը (dzmerruh). Genitive case (of winter) is ձմռան (dzmran).,"DIMMER the lights, it's getting dark early in the winter.","Time, Calendar & Seasons"
ձյուն,dzyun,snow,"Առավոտյան ամբողջ քաղաքը ձյան տակ էր։ [In the morning, the whole city was under snow.]",Root: ձյուն (dzyun). Definite form: ձյունը (dzyunuh). Notice the similarity to ձմեռ (dzmerr) - winter.,The snow fell on the sand DUNE.,Nature & Environment
ձու,dzu,egg,Առավոտյան նախաճաշին սիրում եմ ձու ուտել։ [I like to eat an egg for breakfast in the morning.],Root: ձու (dzu). Definite form: ձուն (dzun). Plural: ձվեր (dzver).,I saw a giant egg at the ZOO.,Food & Dining
ձուկ,dzuk,fish,Սևանա լճի իշխան ձուկը շատ համեղ է։ [The Ishkhan fish from Lake Sevan is very tasty.],Root: ձուկ (dzuk). Definite form: ձուկը (dzukuh). Plural: ձկներ (dzkner).,A fish jumped out of the water and landed on the DUKE.,Animals
ղեկ,ghek,steering wheel,"Խնդրում եմ, երկու ձեռքով բռնիր ղեկը։ [Please, hold the steering wheel with two hands.]","Root: ղեկ (ghek). Definite form: ղեկը (ghekuh). The sound 'ղ' (gh) is a voiced uvular fricative, similar to a French 'r'.",The steering wheel feels like a GECK-o's skin.,Travel & Transportation
ղեկավար,ghekavar,head / boss,Մեր ղեկավարը շատ խելացի մարդ է։ [Our boss is a very smart person.],Compound word: ղեկ (ghek) 'steering wheel' + ավար (avar) 'ruler'. A person who 'steers'. Definite form: ղեկավարը (ghekavaruh).,The boss (GHEKAVAR) will GET A CAR if we succeed.,Professions & Occupations
ճանաչել,chanach'el,recognize,Ես նրան միանգամից ճանաչեցի իր ձայնից։ [I recognized him immediately by his voice.],Verb. Infinitive: ճանաչել (chanach'el). Imperative: ճանաչի՛ր (chanach'ir).,"""CAN I CHELL you that I recognize you?"" she asked.",Actions & Verbs
ճանապարհ,chanaparh,way / road,Այս ճանապարհը տանում է դեպի Գառնու տաճար։ [This road leads to the Garni temple.],Root: ճանապարհ (chanaparh). Definite form: ճանապարհը (chanaparhuh).,"On the road, there was A CHANNAH-PARROT giving directions.",Travel & Transportation
ճաշ,chash,lunch,"Ժամը մեկին մենք միասին ճաշում ենք։ [At one o'clock, we have lunch together.]",Root: ճաշ (chash). Definite form: ճաշը (chashuh). The verb 'to eat lunch' is ճաշել (chashel).,Let's CHASE down some food for lunch.,Food & Dining
ճաշասենյակ,chashasenyak,dining room,Ընտանիքը հավաքվել էր ճաշասենյակում։ [The family had gathered in the dining room.],Compound word: ճաշ (chash) 'lunch' + սենյակ (senyak) 'room'. Literally 'lunch-room'. Definite form: ճաշասենյակը (chashasenyakuh).,A SHAGGY SNAKE is in our dining room!,Home & Furniture
ճարտարապետ,chartarapet,architect,Այս գեղեցիկ շենքի ճարտարապետը շատ տաղանդավոր է։ [The architect of this beautiful building is very talented.],Root: ճարտարապետ (chartarapet). Definite form: ճարտարապետը (chartarapetuh).,The architect drew a CHART of her PET on the blueprint.,Professions & Occupations
ճի՞շտ,chisht,right?,"Մենք վաղը գնում ենք թատրոն, ճի՞շտ է։ [We're going to the theater tomorrow, right?]",Adjective/Adverb. The question particle 'է' (e) is often added to turn it into a question tag 'right?'.,"SHE'S right, isn't she?",General
ճիշտ,chisht,right,Դա ճիշտ պատասխանն է։ [That is the right answer.],Adjective/Adverb. Root: ճիշտ (chisht). The opposite of սխալ (skhal) 'wrong'.,He hit the target right in the CHEST.,Adjectives & Qualities
ճուտ,ch'ut,chicken,Փոքրիկ ճուտիկը վազում է իր մայրիկի հետևից։ [The little chick is running after its mother.],Noun. Root: ճուտ (ch'ut). Plural: ճտեր (ch'ter). The diminutive form is ճուտիկ (ch'utik).,You have to 'CH'UT' the chick out of its shell.,Animals
